transaction id,timestamp,transaction type,merchant_category,amount (INR),transaction_status,sender_age_group,receiver_age_group,sender_state,sender_bank,receiver_bank,device_type,network_type,fraud_flag,hour_of_day,day_of_week,is_weekend
TXN0000100580,2024-03-19 20:09:28,P2P,Transport,66,SUCCESS,26-35,26-35,Gujarat,Kotak,IndusInd,Android,5G,0,20,Tuesday,0
TXN0000167469,2024-06-21 20:50:51,Bill Payment,Other,1316,SUCCESS,18-25,18-25,Uttar Pradesh,Yes Bank,SBI,Android,3G,0,20,Friday,0
TXN0000116797,2024-06-16 11:19:19,P2P,Other,150,SUCCESS,36-45,18-25,Andhra Pradesh,PNB,SBI,Android,WiFi,0,11,Sunday,1
TXN0000169342,2024-07-16 15:15:38,P2M,Grocery,3206,SUCCESS,18-25,56+,Andhra Pradesh,ICICI,HDFC,Web,4G,1,15,Tuesday,0
TXN0000229506,2024-09-04 14:30:14,P2P,Shopping,2377,SUCCESS,46-55,26-35,Andhra Pradesh,SBI,HDFC,Android,4G,0,14,Wednesday,0
TXN0000081610,2024-05-13 19:21:54,P2P,Shopping,1393,SUCCESS,36-45,18-25,West Bengal,SBI,HDFC,Android,4G,0,19,Monday,0
TXN0000166141,2024-11-06 12:33:28,P2P,Education,468,SUCCESS,56+,36-45,Karnataka,Kotak,Yes Bank,iOS,5G,0,12,Wednesday,0
TXN0000078467,2024-05-22 23:29:21,P2P,Food,609,SUCCESS,56+,26-35,Delhi,HDFC,PNB,Android,4G,0,23,Wednesday,0
TXN0000153457,2024-02-03 10:39:09,P2M,Transport,579,SUCCESS,36-45,46-55,West Bengal,Axis,SBI,iOS,WiFi,0,10,Saturday,1
TXN0000188890,2024-04-28 23:20:17,P2P,Utilities,784,FAILED,46-55,36-45,Rajasthan,PNB,SBI,iOS,4G,0,23,Sunday,1
TXN0000010153,2024-01-19 16:29:59,P2P,Transport,31,SUCCESS,18-25,46-55,Karnataka,SBI,Yes Bank,Android,4G,0,16,Friday,0
TXN0000020514,2024-01-16 00:02:57,P2P,Grocery,1002,SUCCESS,18-25,18-25,Maharashtra,IndusInd,PNB,Android,4G,0,0,Tuesday,0
TXN0000170963,2024-05-14 11:40:11,P2P,Healthcare,556,SUCCESS,26-35,56+,Uttar Pradesh,Axis,SBI,Android,4G,0,11,Tuesday,0
TXN0000039748,2024-09-03 13:30:17,P2P,Entertainment,170,SUCCESS,36-45,36-45,Tamil Nadu,SBI,HDFC,Android,5G,0,13,Tuesday,0
TXN0000085567,2024-05-30 17:30:58,Bill Payment,Shopping,1937,SUCCESS,36-45,26-35,Tamil Nadu,PNB,ICICI,Android,4G,0,17,Thursday,0
TXN0000239625,2024-10-04 16:23:35,P2P,Other,426,SUCCESS,18-25,18-25,Maharashtra,Kotak,HDFC,Android,4G,0,16,Friday,0
TXN0000106845,2024-04-13 16:13:38,P2P,Other,1366,SUCCESS,18-25,56+,Delhi,SBI,Yes Bank,Android,4G,0,16,Saturday,1
TXN0000112580,2024-04-20 19:21:10,P2P,Grocery,1928,SUCCESS,36-45,26-35,Tamil Nadu,PNB,ICICI,Android,4G,0,19,Saturday,1
TXN0000172108,2024-11-29 08:48:23,P2P,Grocery,657,SUCCESS,26-35,18-25,Karnataka,HDFC,ICICI,Android,4G,0,8,Friday,0
TXN0000101786,2024-02-17 06:55:58,P2P,Transport,193,SUCCESS,18-25,36-45,Maharashtra,PNB,Yes Bank,Android,4G,0,6,Saturday,1
TXN0000011773,2024-06-02 12:19:56,P2P,Grocery,527,SUCCESS,36-45,26-35,Andhra Pradesh,Axis,HDFC,Android,4G,0,12,Sunday,1
TXN0000057775,2024-06-22 17:56:06,Recharge,Transport,272,FAILED,26-35,26-35,Andhra Pradesh,PNB,PNB,Android,3G,0,17,Saturday,1
TXN0000045930,2024-01-25 14:42:48,P2P,Grocery,261,SUCCESS,36-45,26-35,Gujarat,PNB,IndusInd,Android,3G,0,14,Thursday,0
TXN0000016649,2024-05-31 20:43:06,P2M,Shopping,1454,SUCCESS,36-45,36-45,Telangana,PNB,Kotak,Android,4G,0,20,Friday,0
TXN0000226627,2024-02-02 10:00:12,P2P,Food,220,SUCCESS,56+,26-35,Tamil Nadu,SBI,SBI,Android,5G,0,10,Friday,0
TXN0000138571,2024-06-28 21:15:37,P2P,Entertainment,903,SUCCESS,36-45,36-45,Telangana,HDFC,IndusInd,Android,4G,0,21,Friday,0
TXN0000017999,2024-12-06 12:41:54,P2P,Entertainment,314,SUCCESS,36-45,26-35,Gujarat,SBI,IndusInd,Android,4G,0,12,Friday,0
TXN0000190672,2024-08-21 21:22:30,P2M,Other,334,SUCCESS,56+,26-35,Gujarat,HDFC,Axis,Android,4G,0,21,Wednesday,0
TXN0000058270,2024-02-10 07:46:00,P2P,Utilities,256,SUCCESS,36-45,18-25,Maharashtra,ICICI,HDFC,Android,5G,0,7,Saturday,1
TXN0000223120,2024-10-31 10:53:06,P2P,Fuel,1625,SUCCESS,18-25,36-45,Delhi,SBI,SBI,Android,5G,0,10,Thursday,0
TXN0000092321,2024-10-26 23:16:55,P2P,Grocery,641,SUCCESS,36-45,36-45,Telangana,Kotak,Yes Bank,iOS,5G,0,23,Saturday,1
TXN0000095357,2024-08-26 17:42:39,P2M,Utilities,387,SUCCESS,46-55,36-45,West Bengal,IndusInd,Axis,iOS,WiFi,0,17,Monday,0
TXN0000160446,2024-07-01 10:57:47,P2P,Grocery,1807,SUCCESS,18-25,56+,West Bengal,Yes Bank,Kotak,Android,WiFi,0,10,Monday,0
TXN0000227753,2024-10-09 18:54:21,P2P,Shopping,405,SUCCESS,18-25,18-25,Telangana,IndusInd,PNB,Android,4G,0,18,Wednesday,0
TXN0000076761,2024-07-31 22:05:30,P2P,Shopping,208,SUCCESS,26-35,36-45,Delhi,Yes Bank,IndusInd,iOS,4G,0,22,Wednesday,0
TXN0000171885,2024-07-23 18:38:03,P2M,Food,56,SUCCESS,46-55,18-25,Uttar Pradesh,PNB,Axis,Android,4G,0,18,Tuesday,0
TXN0000070341,2024-05-21 21:28:47,P2M,Fuel,1723,SUCCESS,18-25,36-45,Uttar Pradesh,SBI,ICICI,iOS,3G,0,21,Tuesday,0
TXN0000079630,2024-12-30 08:33:26,P2M,Transport,73,SUCCESS,18-25,46-55,Telangana,Yes Bank,Axis,Web,4G,0,8,Monday,0
TXN0000131784,2024-10-14 21:51:04,P2P,Grocery,286,SUCCESS,26-35,36-45,Telangana,Axis,HDFC,Android,4G,0,21,Monday,0
TXN0000103331,2024-08-26 15:03:38,P2P,Transport,116,FAILED,36-45,26-35,Telangana,Yes Bank,IndusInd,Android,4G,0,15,Monday,0
TXN0000049500,2024-02-06 17:04:07,P2P,Shopping,1235,SUCCESS,36-45,36-45,West Bengal,Kotak,Yes Bank,Android,4G,0,17,Tuesday,0
TXN0000073431,2024-05-19 18:07:05,P2M,Food,411,SUCCESS,26-35,36-45,Gujarat,HDFC,SBI,Android,4G,0,18,Sunday,1
TXN0000123289,2024-08-22 12:37:08,P2P,Shopping,5798,SUCCESS,18-25,36-45,West Bengal,Kotak,Yes Bank,iOS,4G,0,12,Thursday,0
TXN0000077576,2024-08-05 19:35:55,P2P,Other,319,SUCCESS,26-35,18-25,Uttar Pradesh,SBI,Axis,Android,4G,0,19,Monday,0
TXN0000077946,2024-09-21 19:18:54,Bill Payment,Grocery,544,SUCCESS,46-55,36-45,Andhra Pradesh,SBI,PNB,Android,4G,0,19,Saturday,1
TXN0000245972,2024-12-10 17:02:09,P2P,Utilities,564,SUCCESS,18-25,36-45,Uttar Pradesh,HDFC,SBI,Android,4G,0,17,Tuesday,0
TXN0000199597,2024-10-29 08:11:37,P2P,Other,366,SUCCESS,46-55,26-35,Maharashtra,HDFC,Axis,Android,5G,0,8,Tuesday,0
TXN0000167976,2024-01-07 20:59:26,Bill Payment,Food,59,SUCCESS,26-35,26-35,Gujarat,PNB,SBI,Android,5G,0,20,Sunday,1
TXN0000200319,2024-04-16 21:44:14,Bill Payment,Food,1516,SUCCESS,18-25,18-25,Rajasthan,Yes Bank,Yes Bank,iOS,4G,0,21,Tuesday,0
TXN0000088071,2024-02-21 12:39:52,P2M,Shopping,1768,SUCCESS,26-35,36-45,Karnataka,IndusInd,HDFC,Android,4G,0,12,Wednesday,0
TXN0000076520,2024-11-20 08:28:35,P2M,Grocery,1889,FAILED,26-35,36-45,Karnataka,PNB,HDFC,iOS,3G,0,8,Wednesday,0
TXN0000122326,2024-01-22 12:02:47,P2M,Fuel,455,SUCCESS,26-35,36-45,Gujarat,Kotak,PNB,Android,3G,0,12,Monday,0
TXN0000116110,2024-10-13 18:25:38,P2P,Utilities,3046,FAILED,36-45,26-35,Tamil Nadu,ICICI,SBI,Android,4G,0,18,Sunday,1
TXN0000100056,2024-03-05 18:16:33,P2M,Grocery,804,SUCCESS,36-45,36-45,Tamil Nadu,PNB,HDFC,iOS,4G,0,18,Tuesday,0
TXN0000047406,2024-08-20 20:50:41,P2P,Grocery,4215,SUCCESS,36-45,26-35,West Bengal,Axis,IndusInd,Android,5G,0,20,Tuesday,0
TXN0000135477,2024-02-15 00:41:07,P2P,Other,91,SUCCESS,26-35,46-55,Andhra Pradesh,Yes Bank,PNB,Android,4G,0,0,Thursday,0
TXN0000015622,2024-07-28 08:14:16,P2M,Grocery,1511,SUCCESS,46-55,36-45,Maharashtra,SBI,SBI,Android,4G,0,8,Sunday,1
TXN0000208912,2024-01-21 11:35:59,P2M,Grocery,533,SUCCESS,26-35,36-45,Telangana,SBI,SBI,Android,5G,0,11,Sunday,1
TXN0000035969,2024-05-20 17:02:50,P2P,Other,351,SUCCESS,18-25,18-25,Karnataka,SBI,Kotak,Android,4G,0,17,Monday,0
TXN0000122804,2024-01-19 08:41:41,P2M,Entertainment,520,SUCCESS,36-45,18-25,Gujarat,Axis,SBI,iOS,4G,0,8,Friday,0
TXN0000155613,2024-03-04 19:45:04,P2P,Food,834,SUCCESS,36-45,26-35,Maharashtra,SBI,HDFC,Android,3G,0,19,Monday,0
TXN0000039111,2024-09-19 16:46:07,P2M,Fuel,1220,SUCCESS,36-45,36-45,Karnataka,ICICI,HDFC,Android,5G,0,16,Thursday,0
TXN0000138750,2024-03-19 18:44:12,P2P,Transport,367,SUCCESS,26-35,18-25,Maharashtra,HDFC,ICICI,Android,4G,0,18,Tuesday,0
TXN0000068281,2024-07-10 23:14:17,P2M,Healthcare,117,SUCCESS,18-25,36-45,Uttar Pradesh,SBI,IndusInd,Android,5G,0,23,Wednesday,0
TXN0000045000,2024-11-10 15:36:23,P2P,Grocery,219,SUCCESS,26-35,36-45,Telangana,Kotak,Axis,iOS,4G,0,15,Sunday,1
TXN0000131132,2024-05-22 19:13:00,P2P,Other,396,SUCCESS,36-45,26-35,Telangana,Axis,ICICI,iOS,WiFi,0,19,Wednesday,0
TXN0000058906,2024-06-02 10:51:46,P2M,Other,1215,SUCCESS,18-25,18-25,West Bengal,Axis,Axis,Android,5G,0,10,Sunday,1
TXN0000140914,2024-10-29 15:24:52,Bill Payment,Fuel,444,SUCCESS,36-45,26-35,Gujarat,IndusInd,PNB,iOS,5G,0,15,Tuesday,0
TXN0000068150,2024-03-08 21:55:44,P2P,Entertainment,359,SUCCESS,46-55,18-25,Gujarat,SBI,ICICI,Web,4G,0,21,Friday,0
TXN0000164417,2024-05-30 15:06:49,Recharge,Utilities,737,SUCCESS,18-25,36-45,Maharashtra,SBI,Axis,Android,4G,0,15,Thursday,0
TXN0000236667,2024-11-25 22:02:04,Bill Payment,Other,440,SUCCESS,36-45,46-55,Maharashtra,HDFC,PNB,Android,4G,0,22,Monday,0
TXN0000200879,2024-08-23 15:45:15,P2P,Utilities,264,SUCCESS,18-25,18-25,Uttar Pradesh,SBI,Axis,iOS,4G,0,15,Friday,0
TXN0000042463,2024-07-21 17:14:32,P2P,Transport,64,SUCCESS,26-35,26-35,Andhra Pradesh,SBI,SBI,Android,4G,0,17,Sunday,1
TXN0000122095,2024-08-31 08:25:36,P2P,Grocery,485,SUCCESS,36-45,46-55,Andhra Pradesh,IndusInd,PNB,Android,4G,0,8,Saturday,1
TXN0000193371,2024-01-20 12:13:35,P2P,Entertainment,97,SUCCESS,56+,18-25,Rajasthan,ICICI,Axis,Android,4G,0,12,Saturday,1
TXN0000173457,2024-08-09 16:55:33,P2M,Transport,600,SUCCESS,26-35,36-45,West Bengal,PNB,SBI,iOS,4G,0,16,Friday,0
TXN0000004425,2024-02-19 16:28:48,P2P,Grocery,4573,SUCCESS,36-45,46-55,Karnataka,Kotak,HDFC,Android,4G,0,16,Monday,0
TXN0000204270,2024-06-23 00:15:51,Bill Payment,Shopping,6357,SUCCESS,18-25,26-35,Gujarat,Kotak,Yes Bank,Android,4G,0,0,Sunday,1
TXN0000129270,2024-09-02 20:30:39,P2P,Grocery,1945,SUCCESS,36-45,36-45,Uttar Pradesh,Kotak,Kotak,iOS,5G,0,20,Monday,0
TXN0000236388,2024-09-26 16:24:45,P2M,Shopping,633,SUCCESS,18-25,36-45,Uttar Pradesh,SBI,SBI,Android,WiFi,0,16,Thursday,0
TXN0000186773,2024-01-18 15:37:27,P2P,Other,391,SUCCESS,36-45,56+,Telangana,SBI,Yes Bank,Android,4G,0,15,Thursday,0
TXN0000040784,2024-01-30 11:22:12,P2P,Grocery,2047,SUCCESS,26-35,36-45,Karnataka,PNB,Axis,Android,5G,0,11,Tuesday,0
TXN0000055953,2024-06-11 11:17:13,P2M,Food,1454,SUCCESS,18-25,36-45,Maharashtra,Kotak,SBI,Android,4G,0,11,Tuesday,0
TXN0000229716,2024-03-06 02:02:18,P2M,Other,193,FAILED,18-25,18-25,Gujarat,IndusInd,SBI,Android,4G,0,2,Wednesday,0
TXN0000029824,2024-11-07 20:35:28,P2P,Grocery,318,SUCCESS,36-45,46-55,Delhi,ICICI,Kotak,Android,4G,0,20,Thursday,0
TXN0000113147,2024-02-28 12:22:58,Bill Payment,Transport,592,SUCCESS,18-25,18-25,Maharashtra,HDFC,Kotak,iOS,4G,0,12,Wednesday,0
TXN0000089866,2024-07-22 12:06:19,P2M,Shopping,2405,SUCCESS,18-25,18-25,Tamil Nadu,Kotak,IndusInd,Android,4G,0,12,Monday,0
TXN0000179222,2024-08-14 12:31:35,Bill Payment,Food,911,SUCCESS,36-45,26-35,Karnataka,Axis,IndusInd,Android,4G,0,12,Wednesday,0
TXN0000243567,2024-11-02 22:47:11,P2M,Grocery,341,SUCCESS,36-45,26-35,West Bengal,Kotak,Kotak,iOS,3G,0,22,Saturday,1
TXN0000043886,2024-02-02 12:14:30,Bill Payment,Utilities,116,SUCCESS,36-45,18-25,Karnataka,IndusInd,SBI,Android,5G,0,12,Friday,0
TXN0000207029,2024-05-22 11:11:12,P2P,Shopping,5140,SUCCESS,26-35,18-25,Gujarat,IndusInd,Axis,Android,5G,0,11,Wednesday,0
TXN0000182599,2024-09-10 17:13:51,P2M,Food,1754,SUCCESS,36-45,26-35,Tamil Nadu,SBI,Axis,Android,4G,0,17,Tuesday,0
TXN0000073510,2024-06-30 19:20:57,P2M,Entertainment,629,SUCCESS,26-35,36-45,Maharashtra,Yes Bank,ICICI,iOS,5G,0,19,Sunday,1
TXN0000244897,2024-10-19 19:46:48,P2P,Other,797,SUCCESS,26-35,18-25,Rajasthan,IndusInd,PNB,Android,WiFi,0,19,Saturday,1
TXN0000249125,2024-10-20 00:05:00,P2P,Grocery,1485,SUCCESS,26-35,36-45,Maharashtra,Yes Bank,Kotak,iOS,4G,0,0,Sunday,1
TXN0000131575,2024-01-27 15:04:48,P2M,Shopping,882,SUCCESS,18-25,36-45,Karnataka,Yes Bank,PNB,Android,4G,0,15,Saturday,1
TXN0000005251,2024-10-21 13:49:50,P2M,Grocery,283,SUCCESS,18-25,36-45,Tamil Nadu,SBI,SBI,Android,5G,0,13,Monday,0
TXN0000104748,2024-09-25 11:57:43,P2P,Grocery,1877,SUCCESS,26-35,26-35,Delhi,IndusInd,HDFC,Android,4G,0,11,Wednesday,0
TXN0000116604,2024-11-27 10:10:22,P2P,Fuel,2908,SUCCESS,36-45,26-35,Maharashtra,HDFC,SBI,Android,4G,0,10,Wednesday,0
TXN0000227453,2024-01-21 10:28:20,P2M,Food,227,SUCCESS,46-55,26-35,Maharashtra,Yes Bank,PNB,Android,4G,0,10,Sunday,1
TXN0000164063,2024-11-11 10:43:50,P2P,Grocery,374,SUCCESS,26-35,26-35,Karnataka,SBI,IndusInd,iOS,4G,0,10,Monday,0
TXN0000072893,2024-07-15 11:51:14,P2M,Grocery,1300,SUCCESS,26-35,18-25,Gujarat,IndusInd,ICICI,iOS,4G,0,11,Monday,0
TXN0000079409,2024-12-21 12:01:24,P2M,Utilities,2844,SUCCESS,36-45,18-25,Andhra Pradesh,Yes Bank,ICICI,Android,5G,0,12,Saturday,1
TXN0000183889,2024-06-29 23:27:16,P2P,Transport,527,SUCCESS,46-55,26-35,Maharashtra,SBI,PNB,Android,4G,0,23,Saturday,1
TXN0000210739,2024-03-04 09:06:39,P2P,Fuel,1870,FAILED,26-35,26-35,Uttar Pradesh,HDFC,IndusInd,Android,4G,0,9,Monday,0
TXN0000118216,2024-07-28 15:29:13,Recharge,Fuel,403,SUCCESS,18-25,26-35,Uttar Pradesh,SBI,Kotak,Android,WiFi,0,15,Sunday,1
TXN0000088547,2024-09-13 13:54:51,P2P,Fuel,1833,SUCCESS,18-25,18-25,Telangana,IndusInd,SBI,Android,5G,0,13,Friday,0
TXN0000077952,2024-05-28 11:10:28,P2P,Grocery,1564,SUCCESS,18-25,36-45,Uttar Pradesh,HDFC,SBI,iOS,5G,0,11,Tuesday,0
TXN0000132738,2024-11-28 17:02:51,P2M,Education,2502,SUCCESS,36-45,26-35,West Bengal,SBI,IndusInd,Android,4G,0,17,Thursday,0
TXN0000126261,2024-12-30 16:08:45,Recharge,Shopping,461,SUCCESS,36-45,36-45,Maharashtra,Yes Bank,Yes Bank,Android,4G,0,16,Monday,0
TXN0000165599,2024-05-13 20:47:44,P2P,Entertainment,154,SUCCESS,36-45,26-35,Karnataka,PNB,Yes Bank,Android,4G,0,20,Monday,0
TXN0000126477,2024-12-29 12:42:50,P2P,Grocery,306,SUCCESS,18-25,18-25,Gujarat,Axis,IndusInd,Android,3G,0,12,Sunday,1
TXN0000064786,2024-01-30 23:01:55,P2M,Shopping,215,SUCCESS,36-45,26-35,Andhra Pradesh,HDFC,ICICI,Android,5G,0,23,Tuesday,0
TXN0000013057,2024-03-27 22:16:09,P2P,Grocery,188,SUCCESS,46-55,18-25,Telangana,SBI,IndusInd,Android,4G,0,22,Wednesday,0
TXN0000029170,2024-01-08 10:11:38,P2P,Grocery,540,FAILED,56+,18-25,Maharashtra,Axis,IndusInd,iOS,3G,0,10,Monday,0
TXN0000027264,2024-04-06 17:51:11,P2P,Food,261,SUCCESS,26-35,26-35,Telangana,SBI,SBI,Android,4G,0,17,Saturday,1
TXN0000214084,2024-04-30 19:33:23,Bill Payment,Entertainment,1014,SUCCESS,18-25,26-35,Gujarat,ICICI,Kotak,iOS,5G,0,19,Tuesday,0
TXN0000162937,2024-11-28 19:53:27,P2M,Grocery,232,SUCCESS,26-35,18-25,Uttar Pradesh,ICICI,HDFC,Android,5G,0,19,Thursday,0
TXN0000183187,2024-06-29 00:15:18,P2M,Utilities,3404,SUCCESS,36-45,36-45,Maharashtra,HDFC,Kotak,iOS,4G,0,0,Saturday,1
TXN0000096633,2024-04-22 19:20:32,Bill Payment,Food,306,SUCCESS,26-35,18-25,Rajasthan,SBI,HDFC,Android,4G,0,19,Monday,0
TXN0000085411,2024-01-30 09:44:17,P2P,Other,164,FAILED,36-45,18-25,Maharashtra,SBI,Yes Bank,Android,4G,0,9,Tuesday,0
TXN0000167190,2024-12-21 20:33:45,P2P,Other,939,SUCCESS,26-35,26-35,Rajasthan,HDFC,Axis,Android,WiFi,0,20,Saturday,1
TXN0000137999,2024-04-23 20:02:56,P2P,Grocery,1673,SUCCESS,18-25,18-25,Rajasthan,SBI,HDFC,Android,4G,0,20,Tuesday,0
TXN0000075646,2024-09-01 19:53:49,P2M,Education,1223,SUCCESS,26-35,36-45,Delhi,HDFC,HDFC,Android,4G,0,19,Sunday,1
TXN0000080023,2024-06-16 12:53:58,P2P,Other,1452,SUCCESS,26-35,46-55,West Bengal,SBI,Kotak,Android,5G,0,12,Sunday,1
TXN0000036044,2024-09-22 20:30:35,P2P,Utilities,3385,SUCCESS,36-45,26-35,Maharashtra,HDFC,ICICI,iOS,5G,0,20,Sunday,1
TXN0000120608,2024-11-01 13:08:22,P2P,Other,784,SUCCESS,26-35,56+,Uttar Pradesh,IndusInd,IndusInd,iOS,5G,0,13,Friday,0
TXN0000027153,2024-04-16 12:01:40,P2M,Grocery,517,SUCCESS,46-55,18-25,Andhra Pradesh,SBI,Kotak,Android,4G,0,12,Tuesday,0
TXN0000042686,2024-09-16 00:53:13,Bill Payment,Fuel,449,SUCCESS,26-35,18-25,Tamil Nadu,Kotak,PNB,Android,3G,0,0,Monday,0
TXN0000158807,2024-10-23 21:24:59,P2P,Fuel,1559,SUCCESS,46-55,36-45,Delhi,SBI,SBI,Web,4G,0,21,Wednesday,0
TXN0000015248,2024-03-13 20:38:23,P2M,Food,834,SUCCESS,36-45,18-25,Telangana,Axis,Axis,Android,4G,0,20,Wednesday,0
TXN0000120117,2024-05-10 18:22:01,Recharge,Food,669,SUCCESS,26-35,36-45,Rajasthan,IndusInd,Kotak,iOS,4G,0,18,Friday,0
TXN0000240063,2024-09-27 10:14:25,P2M,Food,636,SUCCESS,18-25,46-55,Delhi,HDFC,HDFC,Android,4G,0,10,Friday,0
TXN0000083804,2024-05-16 20:10:50,P2M,Shopping,486,SUCCESS,18-25,18-25,Karnataka,PNB,PNB,Android,5G,0,20,Thursday,0
TXN0000148083,2024-04-16 14:11:15,P2M,Food,112,SUCCESS,26-35,26-35,Rajasthan,Axis,Yes Bank,Android,4G,0,14,Tuesday,0
TXN0000050214,2024-03-21 12:07:50,P2M,Food,168,SUCCESS,26-35,26-35,Maharashtra,HDFC,Axis,Android,WiFi,0,12,Thursday,0
TXN0000114699,2024-06-10 16:23:32,P2M,Shopping,481,SUCCESS,46-55,36-45,Uttar Pradesh,IndusInd,Kotak,Android,4G,0,16,Monday,0
TXN0000168379,2024-12-25 11:38:43,Bill Payment,Grocery,1238,SUCCESS,26-35,36-45,Telangana,Axis,SBI,Android,5G,0,11,Wednesday,0
TXN0000173520,2024-10-22 21:24:42,P2P,Transport,1092,SUCCESS,26-35,26-35,Rajasthan,SBI,SBI,Android,4G,0,21,Tuesday,0
TXN0000036778,2024-09-28 20:57:56,P2P,Grocery,1816,SUCCESS,26-35,36-45,Gujarat,SBI,IndusInd,iOS,3G,0,20,Saturday,1
TXN0000087952,2024-11-23 08:31:44,P2P,Shopping,469,SUCCESS,18-25,36-45,Andhra Pradesh,SBI,PNB,Android,4G,0,8,Saturday,1
TXN0000090714,2024-07-28 00:56:48,P2M,Utilities,6824,SUCCESS,26-35,26-35,Tamil Nadu,SBI,Yes Bank,iOS,4G,0,0,Sunday,1
TXN0000119153,2024-10-24 22:09:12,P2P,Utilities,1108,SUCCESS,26-35,46-55,Karnataka,Kotak,SBI,Android,4G,0,22,Thursday,0
TXN0000174578,2024-10-02 16:18:50,P2P,Shopping,1769,SUCCESS,36-45,36-45,Tamil Nadu,Kotak,HDFC,Android,4G,0,16,Wednesday,0
TXN0000080828,2024-09-06 15:22:00,P2P,Shopping,1947,SUCCESS,18-25,36-45,Karnataka,Axis,SBI,Android,5G,0,15,Friday,0
TXN0000075795,2024-09-16 19:55:06,P2M,Other,1631,SUCCESS,26-35,26-35,Rajasthan,Yes Bank,Kotak,Android,4G,0,19,Monday,0
TXN0000048980,2024-11-29 21:57:28,P2P,Utilities,176,SUCCESS,18-25,26-35,Uttar Pradesh,SBI,Kotak,Android,4G,0,21,Friday,0
TXN0000169361,2024-04-13 21:58:11,P2P,Education,5942,SUCCESS,26-35,46-55,Tamil Nadu,SBI,SBI,iOS,4G,0,21,Saturday,1
TXN0000217917,2024-09-23 15:13:56,P2M,Fuel,611,SUCCESS,26-35,26-35,Uttar Pradesh,ICICI,IndusInd,Android,5G,0,15,Monday,0
TXN0000126965,2024-06-18 15:35:31,P2P,Other,952,SUCCESS,18-25,26-35,Telangana,SBI,Kotak,Android,5G,0,15,Tuesday,0
TXN0000160058,2024-01-04 19:45:32,P2P,Utilities,905,SUCCESS,26-35,36-45,Uttar Pradesh,Yes Bank,Yes Bank,Android,3G,0,19,Thursday,0
TXN0000198691,2024-06-01 10:03:19,P2M,Shopping,211,SUCCESS,56+,26-35,Telangana,HDFC,Kotak,Android,4G,1,10,Saturday,1
TXN0000103143,2024-07-21 15:13:42,P2M,Grocery,754,SUCCESS,18-25,46-55,Maharashtra,Kotak,HDFC,Android,4G,0,15,Sunday,1
TXN0000107721,2024-12-17 08:47:03,P2M,Transport,156,SUCCESS,46-55,46-55,Karnataka,SBI,PNB,Android,5G,0,8,Tuesday,0
