session_id,user_type_id,label_id,timestamp_start,timestamp_end,vpn,rooted,emulator,ip_risk_score,session_duration,num_events,num_links_clicked,num_qr_scans,num_permission_requests,event_sequence_encoded,event_count_1,event_count_2,event_count_3,event_count_4,event_count_5,event_count_6,event_count_7,event_count_8,event_count_9,event_count_10,event_count_11,event_count_12,event_count_13,event_count_14,event_count_15,event_count_16,event_count_17,event_count_18,event_count_19,event_count_20,event_count_21,generator_version,scenario_family,risk_score,split,split_reason
session_v2_000053_37f0817a,0,0,2026-01-17T05:13:55.878298,2026-01-17T05:21:04.878298,0,0,0,0.171,429,26,1,1,1,"[3, 13, 21, 2, 11, 12, 13, 13, 12, 13, 12, 12, 12, 14, 13, 13, 21, 7, 4, 17, 13, 12, 21, 5, 21, 10]",0,1,1,1,1,0,1,0,0,1,1,6,7,1,0,0,1,0,0,0,4,v2.0.0,benign_chat,0.272003,train,train_default
session_v2_000054_bd8313f4,0,0,2026-02-10T08:09:46.879837,2026-02-10T08:14:35.879837,0,0,0,0.292,289,22,2,0,1,"[3, 8, 3, 12, 13, 12, 12, 21, 8, 4, 18, 21, 9, 2, 15, 11, 21, 7, 1, 11, 13, 12]",1,1,2,1,0,0,1,2,1,0,2,4,2,0,1,0,0,1,0,0,3,v2.0.0,benign_settings,0.344845,train,train_default
session_v2_000055_e34d7f1c,0,0,2025-10-31T00:07:18.881163,2025-10-31T00:11:54.881163,0,0,0,0.295,276,12,0,0,1,"[5, 21, 10, 4, 19, 17, 13, 9, 3, 13, 21, 8]",0,0,1,1,1,0,0,1,1,1,0,0,2,0,0,0,1,0,1,0,2,v2.0.0,benign_chat,0.333138,train,train_default
session_v2_000056_ece80f69,2,2,2026-01-20T02:31:12.881758,2026-01-20T02:32:52.881758,0,0,0,0.508,100,21,0,0,4,"[1, 19, 21, 12, 4, 17, 17, 17, 13, 21, 4, 17, 16, 13, 13, 13, 21, 5, 21, 3, 13]",1,0,1,2,1,0,0,0,0,0,0,1,5,0,0,1,4,0,1,0,4,v2.0.0,archetype_screen_share_abuse,0.691012,test_ood,ood_withheld_variant
session_v2_000057_7d250caa,1,0,2025-11-22T10:41:35.882712,2025-11-22T10:44:16.882712,0,0,0,0.365,161,9,0,0,2,"[1, 21, 6, 4, 17, 12, 17, 21, 9]",1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,2,0,0,0,2,v2.0.0,benign_files,0.297939,train,train_default
session_v2_000058_306bcf6e,0,2,2026-03-31T02:32:19.883117,2026-03-31T02:37:00.883117,1,0,0,0.3,281,23,0,1,5,"[4, 21, 9, 2, 14, 21, 1, 13, 21, 6, 4, 18, 13, 17, 21, 13, 4, 17, 18, 17, 13, 1, 12]",2,1,0,3,0,1,0,0,1,0,0,1,4,1,0,0,3,2,0,0,4,v2.0.0,permission_dense,0.553035,test_ood,ood_time_bucket
session_v2_000059_2c2dbb33,3,1,2026-01-26T19:10:45.884329,2026-01-26T19:12:04.884329,1,0,0,0.428,79,13,1,1,0,"[1, 21, 2, 15, 15, 12, 1, 14, 11, 19, 20, 21, 12]",2,1,0,0,0,0,0,0,0,0,1,2,0,1,2,0,0,0,1,1,2,v2.0.0,qr_handoff_soft,0.497902,train,train_default
session_v2_000060_7ead76b0,1,0,2025-10-20T20:33:18.884758,2025-10-20T20:35:55.884758,0,0,0,0.327,157,15,1,1,1,"[3, 13, 13, 13, 21, 2, 11, 15, 14, 19, 20, 13, 4, 18, 9]",0,1,1,1,0,0,0,0,1,0,1,0,4,1,1,0,0,1,1,1,1,v2.0.0,mixed_anomalous,0.419299,val,val_random_fill
session_v2_000061_8cbc4bc6,0,0,2025-11-11T04:11:40.885760,2025-11-11T04:14:42.885760,0,0,0,0.104,182,16,1,0,1,"[4, 1, 11, 21, 2, 12, 13, 12, 13, 21, 1, 21, 4, 18, 13, 21]",2,1,0,2,0,0,0,0,0,0,1,2,3,0,0,0,0,1,0,0,4,v2.0.0,link_chain_soft,0.388999,train,train_default
session_v2_000062_d13150ba,3,0,2025-10-18T06:54:03.886477,2025-10-18T06:56:58.886477,0,1,0,0.631,175,18,0,0,6,"[4, 17, 21, 5, 15, 21, 10, 4, 17, 21, 12, 13, 4, 17, 18, 17, 17, 2]",0,1,0,3,1,0,0,0,0,1,0,1,1,0,1,0,5,1,0,0,3,v2.0.0,permission_dense,0.419021,train,train_default
session_v2_000063_af021817,0,0,2026-01-12T04:40:28.887392,2026-01-12T04:43:52.887392,1,0,0,0.231,204,18,1,0,1,"[3, 21, 8, 5, 16, 21, 10, 2, 11, 13, 21, 3, 8, 1, 13, 21, 4, 17]",1,1,2,1,1,0,0,2,0,1,1,0,2,0,0,1,1,0,0,0,4,v2.0.0,benign_settings,0.414809,train,train_default
session_v2_000064_a01b8ed3,2,0,2025-11-27T03:05:39.888316,2025-11-27T03:07:42.888316,0,1,0,0.537,123,13,0,0,4,"[1, 21, 4, 17, 16, 21, 12, 4, 17, 18, 17, 21, 12]",1,0,0,2,0,0,0,0,0,0,0,2,0,0,0,1,3,1,0,0,3,v2.0.0,permission_dense,0.419893,train,train_default
session_v2_000065_4bf52ead,1,1,2025-10-29T23:51:47.888927,2025-10-29T23:54:56.888927,0,0,0,0.334,189,16,0,0,6,"[2, 13, 4, 17, 18, 17, 17, 21, 12, 21, 4, 18, 17, 13, 13, 21]",0,1,0,2,0,0,0,0,0,0,0,1,3,0,0,0,4,2,0,0,3,v2.0.0,permission_dense,0.439387,train,train_default
session_v2_000066_cc143260,2,0,2025-10-10T08:35:30.890037,2025-10-10T08:40:18.890037,1,0,0,0.444,288,23,2,0,2,"[5, 21, 1, 11, 13, 21, 6, 4, 17, 13, 19, 13, 20, 12, 12, 21, 9, 2, 11, 21, 7, 4, 17]",1,1,0,2,1,1,1,0,1,0,2,2,3,0,0,0,2,0,1,1,4,v2.0.0,benign_chat,0.288087,train,train_default
session_v2_000067_d47c4a5c,0,0,2026-02-27T12:08:17.890923,2026-02-27T12:14:46.890923,0,0,0,0.21,389,23,0,1,2,"[2, 21, 7, 4, 21, 9, 2, 14, 21, 7, 5, 13, 21, 4, 17, 17, 12, 21, 5, 15, 13, 21, 3]",0,2,1,2,2,0,2,0,1,0,0,1,2,1,1,0,2,0,0,0,6,v2.0.0,benign_media,0.418599,train,train_default
session_v2_000068_62050cc9,0,0,2025-10-08T10:58:39.892319,2025-10-08T11:02:41.892319,0,0,0,0.181,242,13,1,0,0,"[3, 21, 1, 11, 13, 12, 6, 2, 12, 12, 21, 7, 4]",1,1,1,1,0,1,1,0,0,0,1,3,1,0,0,0,0,0,0,0,2,v2.0.0,benign_browse,0.321179,train,train_default
session_v2_000069_8c722462,1,0,2026-03-13T23:58:45.893014,2026-03-14T00:03:31.893014,0,0,0,0.278,286,20,1,0,2,"[2, 21, 3, 12, 13, 8, 1, 21, 4, 18, 21, 1, 11, 21, 5, 21, 10, 4, 18, 13]",2,1,1,2,1,0,0,1,0,1,1,1,2,0,0,0,0,2,0,0,5,v2.0.0,benign_chat,0.187576,test_ood,ood_time_bucket
